function,dimensions,swarmsize,omega,phip,phig,max_iter,best_position,best_value,total_time(s)
quadratic,2,10,0.4,1.8,1.8,60,[ 1.8647232e-08 -4.4371342e-09],3.674074204649086e-16,0.010349750518798828
rastrigin,2,10,0.4,1.8,1.8,60,[-0.01444288 -1.00407686],1.052806717027046,0.02370452880859375
quadratic,5,10,0.4,1.8,1.8,60,"[ 7.05378176e-09 -3.34022779e-08  5.12000000e+00 -4.31801840e+00
 -1.61772332e+00]",1.165468005149856e-15,0.013013362884521484
rastrigin,5,10,0.4,1.8,1.8,60,[ 0.02079179  0.01520432 -0.0409506  -0.03151644 -0.02852454],0.8197553144512852,0.01695561408996582
quadratic,2,10,0.4,1.8,1.8,250,[-2.71429065e-31  5.65866568e-30],3.2094171027721956e-59,0.050280094146728516
rastrigin,2,10,0.4,1.8,1.8,250,[-2.89942906e-09  9.94958637e-01],0.9949590570932898,0.07047891616821289
quadratic,5,10,0.4,1.8,1.8,250,"[-8.54738891e-32  2.09948006e-30  5.12000000e+00 -1.78151465e+00
  4.35287169e+00]",4.4151223129420526e-60,0.0484929084777832
rastrigin,5,10,0.4,1.8,1.8,250,"[-9.94958637e-01 -9.61934018e-10  2.93459900e-09  2.22510734e-09
 -3.47079131e-09]",0.9949590570932898,0.07879137992858887
quadratic,2,10,0.4,1.8,1.0,60,[-5.26561858e-11  3.20441728e-10],1.0545557466654659e-19,0.014052391052246094
rastrigin,2,10,0.4,1.8,1.0,60,[-9.94958668e-01  5.09294647e-08],0.9949590570939897,0.01582503318786621
quadratic,5,10,0.4,1.8,1.0,60,"[ 1.50570913e-10  6.73931240e-11 -3.47651230e+00  6.81032741e-01
 -1.06554648e+00]",2.721343313430926e-20,0.003292560577392578
rastrigin,5,10,0.4,1.8,1.0,60,[ 0.02038468 -0.93208155 -0.00835861  3.02955533 -0.00814853],11.225084950246945,0.03036212921142578
quadratic,2,10,0.4,1.8,1.0,250,[-5.33017388e-36  5.26955366e-37],2.868843557653802e-71,0.04876136779785156
rastrigin,2,10,0.4,1.8,1.0,250,[1.15352367e-09 9.94958637e-01],0.9949590570932898,0.06743955612182617
quadratic,5,10,0.4,1.8,1.0,250,"[ 4.69113492e-41 -2.03760092e-39  2.28536129e+00  1.58809512e+00
  4.64519939e+00]",4.154018184930185e-78,0.06025362014770508
rastrigin,5,10,0.4,1.8,1.0,250,[-0.99502443  0.99523707  0.99819079  0.99503818 -0.99276973],4.977834610133108,0.10577845573425293
quadratic,2,10,0.4,1.0,1.8,60,[ 1.90208731e-09 -1.29688462e-08],1.7180890718728356e-16,0.019846439361572266
rastrigin,2,10,0.4,1.0,1.8,60,[-3.69383383e-09  7.97083827e-10],0.0,0.03310704231262207
