function,dim,swarmsize,omega,phip,phig,max_iter,best_pos,best_val
quadratic,2,10,0.4,1.8,1.8,60,[-3.02247963e-09 -8.75841322e-09],8.584518534269552e-17
rastrigin,2,10,0.4,1.8,1.8,60,[-9.94953597e-01  8.29022982e-06],0.9949590757659763
quadratic,5,10,0.4,1.8,1.8,60,"[ 4.73027071e-08  7.82629819e-09 -5.12000000e+00  2.21549262e+00
  5.12000000e+00]",2.2987970424672385e-15
rastrigin,5,10,0.4,1.8,1.8,60,"[-7.94739986e-05  1.98976687e+00  9.94910088e-01 -9.94927769e-01
  3.33776766e-05]",5.969755618781747
quadratic,2,10,0.4,1.8,1.8,250,[-2.03508097e-29 -2.00821333e-29],8.174475367785636e-58
rastrigin,2,10,0.4,1.8,1.8,250,[-3.35858178e-09  5.20551481e-10],0.0
quadratic,5,10,0.4,1.8,1.8,250,"[ 1.74451786e-29  5.93209099e-31 -3.52535183e+00 -2.67445076e+00
  3.06827195e+00]",3.04686152432986e-58
rastrigin,5,10,0.4,1.8,1.8,250,"[-1.98991223e+00 -9.94958639e-01  9.94958638e-01 -9.94958641e-01
  1.78060361e-10]",6.9647083618339565
quadratic,2,10,0.4,1.8,1.0,60,[-7.87225140e-10 -2.57632038e-10],6.860976883302854e-19
rastrigin,2,10,0.4,1.8,1.0,60,[0.00015534 0.00560719],0.006241700240948944
quadratic,5,10,0.4,1.8,1.0,60,"[-5.84559364e-10 -5.23221449e-10 -2.59314141e+00  4.16340313e+00
 -2.06244659e+00]",6.154703351774372e-19
rastrigin,5,10,0.4,1.8,1.0,60,[-0.00166475 -0.99232136 -0.00218041 -0.01323391 -0.96878185],2.1628519615402837
quadratic,2,10,0.4,1.8,1.0,250,[-7.99140972e-39 -1.89997162e-39],6.747252148533402e-77
rastrigin,2,10,0.4,1.8,1.0,250,[-9.94958637e-01 -1.56209452e-09],0.9949590570932898
quadratic,5,10,0.4,1.8,1.0,250,"[-3.00729748e-39  5.38129721e-38  7.97897328e-01  2.45415246e-01
  1.12789695e-01]",2.904879808922482e-75
rastrigin,5,10,0.4,1.8,1.0,250,"[ 9.95119269e-01 -9.89208816e-01 -1.98927237e+00 -1.99089285e+00
 -1.19236678e-05]",9.9564095766181
quadratic,2,10,0.4,1.0,1.8,60,[-4.40628734e-09  8.86886772e-09],9.807218270759191e-17
rastrigin,2,10,0.4,1.0,1.8,60,[0.99495863 0.99495863],1.9899181141865938
quadratic,5,10,0.4,1.0,1.8,60,"[ 4.83417779e-09  9.11842945e-09 -4.32533275e+00 -5.12000000e+00
 -2.02329377e+00]",1.065150305796186e-16
rastrigin,5,10,0.4,1.0,1.8,60,"[-9.95169811e-01 -2.45387826e-04 -9.94957780e-01 -9.94951006e-01
 -9.94814441e-01]",3.9798611521377865
quadratic,2,10,0.4,1.0,1.8,250,[ 7.13927863e-37 -2.87088011e-36],8.751645605930412e-72
rastrigin,2,10,0.4,1.0,1.8,250,[ 1.36456572e-09 -9.94958637e-01],0.9949590570932898
quadratic,5,10,0.4,1.0,1.8,250,"[ 2.43238357e-37  1.70403967e-36  1.78710694e+00 -5.12000000e+00
 -4.12199241e-01]",2.9629161051661204e-72
rastrigin,5,10,0.4,1.0,1.8,250,[ 0.99495863 -0.99495864 -0.99495864 -0.99495864 -0.99495864],4.974795285466449
quadratic,2,10,0.4,1.0,1.0,60,[-9.50419312e-12  1.09277533e-11],2.0974547872014764e-22
rastrigin,2,10,0.4,1.0,1.0,60,[-7.50500515e-09  4.74062604e-09],1.4210854715202004e-14
