function,dim,swarmsize,omega,phip,phig,max_iter,best_pos,best_val,total_time
quadratic,2,10,0.4,1.8,1.8,60,[ 4.17935152e-07 -1.96149843e-06],4.0221458743815264e-12,0.9783542156219482
rastrigin,2,10,0.4,1.8,1.8,60,[ 1.30069719e-04 -1.99002473e+00],3.979837052755066,0.9971737861633301
quadratic,5,10,0.4,1.8,1.8,60,"[-3.98225338e-04 -1.08210179e-04 -4.74289787e+00 -4.39518494e+00
  4.02260766e+00]",1.702928624848809e-07,0.9828886985778809
rastrigin,5,10,0.4,1.8,1.8,60,[-0.02743125 -0.0051817  -0.02974466 -0.99401749  0.00504735],1.3294508550128015,0.9594132900238037
quadratic,2,10,0.4,1.8,1.8,250,[7.63841591e-19 2.55335896e-19],4.682863709331288e-38,3.609222412109375
rastrigin,2,10,0.4,1.8,1.8,250,[9.94958635e-01 9.73261285e-10],0.9949590570932898,3.6277880668640137
quadratic,5,10,0.4,1.8,1.8,250,"[ 6.31630730e-20  1.23047064e-19  5.12000000e+00  2.91369964e-01
 -5.12000000e+00]",1.9130153797489027e-38,3.5720863342285156
rastrigin,5,10,0.4,1.8,1.8,250,"[ 2.07098787e-09 -1.72788340e-09  9.94958627e-01 -9.94958636e-01
 -1.74120075e-09]",1.989918114186608,3.590928792953491
quadratic,2,10,0.4,1.8,1.0,60,[-8.38027072e-08  4.84273206e-07],2.4154343180693793e-13,1.0730865001678467
rastrigin,2,10,0.4,1.8,1.0,60,[3.92783683e-04 9.69364717e-05],3.2471948614443136e-05,1.0380234718322754
quadratic,5,10,0.4,1.8,1.0,60,"[-2.47315576e-08 -2.04157576e-08  2.26023138e+00  4.23147837e+00
  3.53779507e+00]",1.0284531021508792e-15,1.0442025661468506
rastrigin,5,10,0.4,1.8,1.0,60,"[-1.99578924e+00  1.08337627e-03 -1.06021493e+00  1.01222331e+00
 -1.04956997e+00]",8.454968798461948,1.0408532619476318
quadratic,2,10,0.4,1.8,1.0,250,[ 2.22170774e-26 -6.74072623e-27],5.390359181123229e-52,3.417769432067871
rastrigin,2,10,0.4,1.8,1.0,250,[2.31288311e-09 7.19425731e-10],0.0,3.42808198928833
quadratic,5,10,0.4,1.8,1.0,250,"[-2.57879081e-25  3.79742895e-25 -5.11243261e+00 -2.21674408e+00
 -1.14158141e-02]",2.1070628682964257e-49,3.373403787612915
rastrigin,5,10,0.4,1.8,1.0,250,"[ 9.94938848e-01  1.78265828e-04  9.94965923e-01 -9.94949712e-01
  9.95029356e-01]",3.979843628684705,3.349895715713501
quadratic,2,10,0.4,1.0,1.8,60,[3.72141192e-08 4.28870919e-08],3.224193323459243e-15,0.9163994789123535
rastrigin,2,10,0.4,1.0,1.8,60,[5.40558643e-06 1.11642785e-06],6.044366784863087e-09,0.9186179637908936
quadratic,5,10,0.4,1.0,1.8,60,"[ 3.34520650e-08 -1.09754757e-08  5.12000000e+00  2.64205901e+00
  2.90612309e+00]",1.239501720536797e-15,0.8984518051147461
rastrigin,5,10,0.4,1.0,1.8,60,[-0.99485203 -0.9971065   0.00181758  0.99316271 -0.99469813],3.9820617262878386,0.9497332572937012
quadratic,2,10,0.4,1.0,1.8,250,[-8.70609921e-09 -1.29076946e-08],6.531959580015378e-19,3.421811819076538
rastrigin,2,10,0.4,1.0,1.8,250,[-1.31937528e-10  3.18093465e-09],0.0,3.4637880325317383
quadratic,5,10,0.4,1.0,1.8,250,"[-3.57650027e-30  4.62015469e-29  3.93274063e+00  4.46429401e+00
 -3.11497376e+00]",2.1473742871651677e-57,3.413897752761841
rastrigin,5,10,0.4,1.0,1.8,250,"[ 1.98991223e+00  1.98991223e+00 -9.94958637e-01 -4.58919370e-09
 -1.98991222e+00]",12.934452628755622,3.4299440383911133
quadratic,2,10,0.4,1.0,1.0,60,[ 3.89939341e-09 -4.25107313e-09],3.327689168976227e-17,0.9958794116973877
rastrigin,2,10,0.4,1.0,1.0,60,[1.00707884e-06 9.94957986e-01],0.9949590573786757,0.9819633960723877
quadratic,5,10,0.4,1.0,1.0,60,"[-2.85743811e-09 -7.48553908e-09  1.67767963e+00 -1.74436727e+00
 -3.65339142e+00]",6.419824794887117e-17,0.9750173091888428
rastrigin,5,10,0.4,1.0,1.0,60,[ 1.00457933  0.00354274  1.98900182 -1.98798208  0.99502088],9.97133234493112,0.9630565643310547
quadratic,2,10,0.4,1.0,1.0,250,[3.85147689e-06 4.05048527e-07],1.499793851909797e-11,3.4049315452575684
rastrigin,2,10,0.4,1.0,1.0,250,[-0.00044733  0.00547831],0.005993232216798816,3.4122071266174316
quadratic,5,10,0.4,1.0,1.0,250,"[-5.54015633e-07  4.22757687e-08 -3.67886488e+00 -1.52028641e+00
  3.86082524e+00]",3.087205623426495e-13,3.3986668586730957
rastrigin,5,10,0.4,1.0,1.0,250,[-1.92578799  0.9955078  -0.97446038  0.01706006  0.00430316],6.910654749661461,3.372514486312866
quadratic,2,10,0.5,1.8,1.8,60,[ 1.11525911e-04 -3.93216189e-05],1.398421863342246e-08,0.945044755935669
rastrigin,2,10,0.5,1.8,1.8,60,[4.36454596e-05 7.87519353e-05],1.6083236538122492e-06,0.927537202835083
quadratic,5,10,0.5,1.8,1.8,60,"[-1.98339788e-04  7.38475771e-05  5.12000000e+00 -5.06673986e+00
  5.12000000e+00]",4.479213597068289e-08,0.9861962795257568
rastrigin,5,10,0.5,1.8,1.8,60,[ 0.02082024 -0.93828809 -1.0826686  -1.10284463 -1.08596255],10.035017714059926,0.947946310043335
quadratic,2,10,0.5,1.8,1.8,250,[-3.51432729e-19 -1.61315412e-18],2.7257711718114337e-36,3.354654550552368
rastrigin,2,10,0.5,1.8,1.8,250,[-1.47206511e-09 -9.94958639e-01],0.9949590570932898,3.474569082260132
quadratic,5,10,0.5,1.8,1.8,250,"[ 1.29123714e-21 -1.14407281e-20  5.12000000e+00  5.12000000e+00
  5.12000000e+00]",1.3255755243588239e-40,3.4141125679016113
rastrigin,5,10,0.5,1.8,1.8,250,"[ 9.94956138e-01  5.27910573e-07  1.29035192e-07 -7.02236482e-07
 -9.94955326e-01]",1.9899181177561758,3.4341163635253906
quadratic,2,10,0.5,1.8,1.0,60,[1.65413634e-07 1.86717560e-08],2.771030491036683e-14,0.9733803272247314
rastrigin,2,10,0.5,1.8,1.0,60,[-6.64427431e-05 -9.94993896e-01],0.9949601794337752,0.9234886169433594
quadratic,5,10,0.5,1.8,1.0,60,"[-1.04310131e-06  3.96103589e-08  3.53680299e+00 -2.68534252e+00
 -2.68483318e+00]",1.0896293229169717e-12,0.9471042156219482
rastrigin,5,10,0.5,1.8,1.0,60,[ 0.03073422 -0.04357942 -0.03118762  2.03220173 -0.07155604],6.086361946747353,0.9459671974182129
quadratic,2,10,0.5,1.8,1.0,250,[-3.06625248e-23 -2.65609113e-24],9.4724524507961e-46,3.5918142795562744
rastrigin,2,10,0.5,1.8,1.0,250,[ 2.04870054e-09 -7.06550985e-10],0.0,3.542006492614746
quadratic,5,10,0.5,1.8,1.0,250,"[ 6.39740877e-24 -4.91361350e-23  2.93446740e+00  4.28293100e+00
  6.58712932e-02]",2.455286605185017e-45,3.530557632446289
rastrigin,5,10,0.5,1.8,1.0,250,"[-5.73593979e-07 -1.38966185e-05  7.95813109e-07 -9.94956551e-01
  9.94958857e-01]",1.9899181458540696,3.5317270755767822
quadratic,2,10,0.5,1.0,1.8,60,[-2.93551654e-08  3.52901587e-08],2.1071210381427304e-15,0.9961960315704346
rastrigin,2,10,0.5,1.0,1.8,60,[-9.94950985e-01  1.29700810e-05],0.9949591020800206,1.0145201683044434
quadratic,5,10,0.5,1.0,1.8,60,"[ 3.98345638e-07  9.28387292e-08  1.65649726e+00  4.89979067e+00
 -1.26159130e+00]",1.672982767782917e-13,0.976792573928833
rastrigin,5,10,0.5,1.0,1.8,60,[ 1.98850421 -1.99632542 -0.99761469 -2.99799489  1.9892504 ],21.933247029402462,1.0032439231872559
quadratic,2,10,0.5,1.0,1.8,250,[-5.40835040e-24  2.50064317e-24],3.550347032971983e-47,3.6116602420806885
rastrigin,2,10,0.5,1.0,1.8,250,[5.96949044e-10 9.46577911e-10],0.0,3.5394415855407715
quadratic,5,10,0.5,1.0,1.8,250,"[-7.53038759e-27 -1.55799186e-27  1.41243619e+00 -3.78420468e+00
  2.84199740e+00]",5.91340758331183e-53,3.430741310119629
rastrigin,5,10,0.5,1.0,1.8,250,"[-1.98991225e+00 -9.94958646e-01 -1.98991224e+00 -9.94958630e-01
  2.20522949e-09]",9.949580495294867,3.5807552337646484
quadratic,2,10,0.5,1.0,1.0,60,[-1.14941879e-09 -5.72289009e-11],1.3244386918310037e-18,1.0006027221679688
rastrigin,2,10,0.5,1.0,1.0,60,[ 9.94960769e-01 -4.33840049e-06],0.9949590617284834,0.9980361461639404
quadratic,5,10,0.5,1.0,1.0,60,"[-2.00078346e-08  1.86206051e-08  1.89312855e+00 -5.69526924e-01
  5.09919492e+00]",7.470403770294613e-16,0.9976866245269775
rastrigin,5,10,0.5,1.0,1.0,60,[-3.00102278  0.99273548 -0.99724432 -0.00907454  0.02010541],11.09470046218182,0.9900691509246826
quadratic,2,10,0.5,1.0,1.0,250,[-4.37515879e-33 -6.31510164e-34],1.954081949249624e-65,4.398574352264404
rastrigin,2,10,0.5,1.0,1.0,250,[-0.99495864  0.99495864],1.9899181141865796,4.361980199813843
quadratic,5,10,0.5,1.0,1.0,250,"[ 1.98369311e-11 -1.47307680e-11 -1.28726932e+00 -4.21212655e+00
  4.55127388e-01]",6.104993615783951e-22,4.321389198303223
rastrigin,5,10,0.5,1.0,1.0,250,"[ 9.92175579e-01 -9.89863988e-04  1.98653448e+00 -9.71606779e-04
 -9.94227809e-01]",5.9740303127989876,4.2307000160217285
quadratic,2,25,0.4,1.8,1.8,60,[-2.34156348e-07  3.00824925e-07],1.4532483080927777e-13,1.7715222835540771
rastrigin,2,25,0.4,1.8,1.8,60,[-6.32038850e-06 -1.61088489e-06],8.440046883606556e-09,1.7798104286193848
quadratic,5,25,0.4,1.8,1.8,60,"[-9.94077592e-07 -8.88911371e-09  1.12857643e-01  2.30474034e+00
  8.80674671e-01]",9.882692757154874e-13,1.7808902263641357
rastrigin,5,25,0.4,1.8,1.8,60,[-0.0241305  -0.003835   -1.01833502  0.00652926  2.00006622],5.230230540428465,1.8178415298461914
quadratic,2,25,0.4,1.8,1.8,250,[ 3.61969314e-23 -1.54093428e-23],1.5476656856236728e-45,7.896768808364868
rastrigin,2,25,0.4,1.8,1.8,250,[-4.63430382e-10  2.07922447e-09],0.0,7.95921516418457
quadratic,5,25,0.4,1.8,1.8,250,"[ 2.48685881e-24  2.24773241e-24  5.11983820e+00  5.11981545e+00
 -4.05683520e+00]",1.1236767771362083e-47,7.98929500579834
rastrigin,5,25,0.4,1.8,1.8,250,"[-7.98672272e-07  2.29807694e-06  9.94957936e-01  3.38261238e-06
 -9.94958193e-01]",1.9899181177676297,8.233762979507446
quadratic,2,25,0.4,1.8,1.0,60,[6.07613515e-10 2.50569196e-09],6.647686403110268e-18,2.850006103515625
rastrigin,2,25,0.4,1.8,1.0,60,[-9.87698355e-07  1.67920714e-06],7.529550316576206e-10,2.689303159713745
quadratic,5,25,0.4,1.8,1.0,60,"[ 9.20987071e-09  1.37501962e-08 -3.06908208e+00  2.44248589e+00
 -3.43190177e-01]",2.738896131117753e-16,2.9074041843414307
rastrigin,5,25,0.4,1.8,1.0,60,[-1.01774699 -0.00958339 -0.99689677  0.99180093 -0.97318286],4.197474818547327,2.900704860687256
quadratic,2,25,0.4,1.8,1.0,250,[8.66264732e-31 5.90374604e-30],3.560463189007688e-59,9.091134548187256
rastrigin,2,25,0.4,1.8,1.0,250,[2.91920930e-09 1.38072916e-09],0.0,8.7566978931427
quadratic,5,25,0.4,1.8,1.0,250,"[-9.46404272e-28 -2.61361864e-27 -1.88152024e+00 -1.13229693e+00
  7.08800444e-01]",7.726683461628584e-54,8.907248497009277
rastrigin,5,25,0.4,1.8,1.0,250,"[ 6.64864552e-09  2.77621970e-09  5.88587074e-09 -9.94958636e-01
  9.94958635e-01]",1.989918114186608,8.981906414031982
quadratic,2,25,0.4,1.0,1.8,60,[-1.07736146e-09  1.70977348e-09],4.084033069900198e-18,2.9246206283569336
rastrigin,2,25,0.4,1.0,1.8,60,[ 9.94958643e-01 -4.69884298e-10],0.9949590570932969,2.869464874267578
quadratic,5,25,0.4,1.0,1.8,60,"[ 9.32174137e-10  1.63722510e-08  3.48132592e-01 -5.11998869e+00
  2.70257889e+00]",2.6891955091033984e-16,2.9800217151641846
rastrigin,5,25,0.4,1.0,1.8,60,"[-9.94762429e-01 -9.95583945e-01  3.10521571e-04  4.55828086e-04
  9.94842977e-01]",2.985025346671428,2.9817333221435547
quadratic,2,25,0.4,1.0,1.8,250,[-5.25198921e-35 -1.28080392e-35],2.9223849350349677e-69,8.905870914459229
rastrigin,2,25,0.4,1.0,1.8,250,[ 2.53889135e-09 -1.38843901e-09],0.0,8.915518760681152
quadratic,5,25,0.4,1.0,1.8,250,"[-4.28034694e-36 -2.98115999e-35  5.11999652e+00 -1.12386632e+00
  3.56910734e+00]",9.07052858257082e-70,8.960108041763306
rastrigin,5,25,0.4,1.0,1.8,250,"[2.81190235e-09 9.86064365e-10 5.48295273e-10 1.98991223e+00
 1.98991224e+00]",7.959662381108174,8.909346103668213
quadratic,2,25,0.4,1.0,1.0,60,[-1.16950183e-10  1.42894563e-09],2.0555629678066096e-18,2.9484782218933105
rastrigin,2,25,0.4,1.0,1.0,60,[8.75639808e-11 9.94958639e-01],0.9949590570932898,3.062330961227417
quadratic,5,25,0.4,1.0,1.0,60,"[-1.94828024e-11  1.61627754e-11 -2.61008973e+00 -7.86488588e-01
  2.14949638e+00]",6.408148970906411e-22,2.890202045440674
rastrigin,5,25,0.4,1.0,1.0,60,[-0.99770629  1.97261021  0.98560662  0.0252787  -1.99064144],10.15409863513137,2.9399001598358154
quadratic,2,25,0.4,1.0,1.0,250,[ 4.41615054e-42 -5.18165652e-42],4.6351949868343385e-83,8.472942590713501
rastrigin,2,25,0.4,1.0,1.0,250,[1.35437991e-09 1.85897326e-11],0.0,8.412931680679321
