function,swarmsize,dim,maxiter,w,c1,c2,duration,best_iter,best_val,best_pos
quadratic,100,2,60,0.40,1.00,1.00,0.006275,60,2.34792e-25,"-3.68043e-13;3.15176e-13"
quadratic,100,2,60,0.40,1.00,1.30,0.000656,60,2.1628e-24,"-1.45395e-12;-2.21003e-13"
quadratic,100,2,60,0.40,1.00,1.50,0.000271,60,7.70152e-23,"8.38333e-12;-2.59519e-12"
quadratic,100,2,60,0.40,1.00,1.70,0.000261,60,4.14231e-21,"2.67406e-11;-5.85427e-11"
quadratic,100,2,60,0.40,1.00,2.00,0.000262,60,5.06509e-20,"-1.87067e-10;-1.25127e-10"
quadratic,100,2,60,0.40,1.30,1.00,0.000436,59,7.07823e-24,"-2.28288e-12;1.36627e-12"
quadratic,100,2,60,0.40,1.30,1.30,0.000274,60,1.87171e-22,"-4.7862e-12;1.28165e-11"
quadratic,100,2,60,0.40,1.30,1.50,0.000266,60,1.75466e-22,"-1.32442e-11;-2.4058e-13"
quadratic,100,2,60,0.40,1.30,1.70,0.000293,56,1.65022e-20,"-1.27109e-10;-1.85876e-11"
quadratic,100,2,60,0.40,1.30,2.00,0.000261,60,2.8836e-19,"4.8883e-10;-2.22273e-10"
quadratic,100,2,60,0.40,1.50,1.00,0.000265,59,8.07598e-25,"1.3516e-13;-8.88442e-13"
quadratic,100,2,60,0.40,1.50,1.30,0.000268,57,1.237e-21,"-4.83137e-12;3.48376e-11"
quadratic,100,2,60,0.40,1.50,1.50,0.000266,60,4.17782e-20,"7.8337e-11;1.8879e-10"
quadratic,100,2,60,0.40,1.50,1.70,0.000267,60,1.27527e-20,"1.12873e-10;-3.51394e-12"
quadratic,100,2,60,0.40,1.50,2.00,0.000270,59,2.42786e-19,"-4.48739e-10;-2.03517e-10"
quadratic,100,2,60,0.40,1.70,1.00,0.000265,57,5.21271e-21,"6.97227e-11;-1.87472e-11"
quadratic,100,2,60,0.40,1.70,1.30,0.000264,60,1.49069e-21,"1.6436e-11;3.49363e-11"
quadratic,100,2,60,0.40,1.70,1.50,0.002621,60,3.47171e-20,"-8.89321e-11;-1.63732e-10"
quadratic,100,2,60,0.40,1.70,1.70,0.000725,60,8.36751e-20,"2.6407e-10;1.18076e-10"
quadratic,100,2,60,0.40,1.70,2.00,0.000280,58,5.66595e-20,"-1.48784e-12;-2.38028e-10"
quadratic,100,2,60,0.40,2.00,1.00,0.000273,60,2.50271e-21,"1.97369e-11;4.59691e-11"
quadratic,100,2,60,0.40,2.00,1.30,0.000270,60,5.51232e-20,"-3.06615e-11;2.32772e-10"
quadratic,100,2,60,0.40,2.00,1.50,0.000263,60,9.50076e-20,"-2.01415e-10;2.33323e-10"
quadratic,100,2,60,0.40,2.00,1.70,0.000263,60,2.32365e-18,"1.11919e-09;1.03492e-09"
quadratic,100,2,60,0.40,2.00,2.00,0.000272,59,8.09115e-17,"-1.84078e-10;8.9932e-09"
quadratic,100,2,60,0.50,1.00,1.00,0.000265,58,1.65263e-19,"-3.83125e-10;-1.35933e-10"
quadratic,100,2,60,0.50,1.00,1.30,0.000264,58,2.79038e-18,"1.01622e-09;-1.32577e-09"
quadratic,100,2,60,0.50,1.00,1.50,0.000268,60,1.01106e-17,"1.90144e-09;2.54856e-09"
quadratic,100,2,60,0.50,1.00,1.70,0.000261,59,4.20916e-17,"5.66423e-09;-3.16356e-09"
quadratic,100,2,60,0.50,1.00,2.00,0.000260,60,3.257e-16,"-1.80375e-08;-5.91788e-10"
quadratic,100,2,60,0.50,1.30,1.00,0.000260,60,1.20746e-18,"4.16853e-10;-1.01671e-09"
quadratic,100,2,60,0.50,1.30,1.30,0.000260,59,5.356e-18,"1.84553e-09;-1.39643e-09"
quadratic,100,2,60,0.50,1.30,1.50,0.000268,60,2.58097e-17,"-4.41139e-09;2.51979e-09"
quadratic,100,2,60,0.50,1.30,1.70,0.000260,60,5.2709e-17,"-4.74407e-09;5.49571e-09"
quadratic,100,2,60,0.50,1.30,2.00,0.000332,58,1.23389e-14,"5.39385e-08;-9.71057e-08"
quadratic,100,2,60,0.50,1.50,1.00,0.000260,57,1.30578e-17,"-3.39937e-10;3.59754e-09"
quadratic,100,2,60,0.50,1.50,1.30,0.000258,59,3.25023e-17,"3.65855e-09;4.37234e-09"
quadratic,100,2,60,0.50,1.50,1.50,0.000262,58,2.00404e-16,"1.35429e-08;-4.12237e-09"
quadratic,100,2,60,0.50,1.50,1.70,0.000261,55,6.60004e-15,"-6.72035e-08;4.56479e-08"
quadratic,100,2,60,0.50,1.50,2.00,0.000260,59,5.28882e-15,"-6.99108e-08;2.00324e-08"
quadratic,100,2,60,0.50,1.70,1.00,0.000261,60,1.35918e-17,"8.75593e-10;3.58122e-09"
quadratic,100,2,60,0.50,1.70,1.30,0.000274,59,4.241e-16,"-6.94576e-09;-1.9387e-08"
quadratic,100,2,60,0.50,1.70,1.50,0.000257,54,1.10047e-15,"2.55008e-08;2.12175e-08"
quadratic,100,2,60,0.50,1.70,1.70,0.000260,59,3.71674e-16,"1.63469e-08;-1.02202e-08"
quadratic,100,2,60,0.50,1.70,2.00,0.000265,50,7.87575e-14,"-1.84753e-07;-2.11244e-07"
quadratic,100,2,60,0.50,2.00,1.00,0.000261,58,1.66388e-16,"-1.12555e-08;-6.30088e-09"
quadratic,100,2,60,0.50,2.00,1.30,0.000264,60,1.47477e-15,"-3.8023e-08;-5.38759e-09"
quadratic,100,2,60,0.50,2.00,1.50,0.000258,57,9.97764e-14,"1.90463e-07;-2.51993e-07"
quadratic,100,2,60,0.50,2.00,1.70,0.000261,60,1.22102e-13,"-4.37305e-08;3.46684e-07"
quadratic,100,2,60,0.50,2.00,2.00,0.000259,59,1.15192e-12,"1.07327e-06;-1.79828e-09"
quadratic,100,2,60,0.60,1.00,1.00,0.000274,60,6.53013e-15,"-7.64745e-09;-8.04466e-08"
quadratic,100,2,60,0.60,1.00,1.30,0.000261,57,4.66412e-14,"-1.81299e-07;1.17353e-07"
quadratic,100,2,60,0.60,1.00,1.50,0.000267,58,1.35673e-13,"2.03631e-07;-3.06933e-07"
quadratic,100,2,60,0.60,1.00,1.70,0.000259,59,1.007e-13,"-1.61754e-07;2.73012e-07"
quadratic,100,2,60,0.60,1.00,2.00,0.000265,59,2.96588e-12,"1.09205e-07;1.71871e-06"
quadratic,100,2,60,0.60,1.30,1.00,0.000249,60,1.24855e-14,"-1.11513e-07;7.09235e-09"
quadratic,100,2,60,0.60,1.30,1.30,0.000268,60,3.33296e-13,"-6.83471e-08;-5.73258e-07"
quadratic,100,2,60,0.60,1.30,1.50,0.000269,59,4.05686e-14,"1.0162e-07;1.73902e-07"
quadratic,100,2,60,0.60,1.30,1.70,0.000268,59,1.93216e-13,"1.04804e-07;4.26886e-07"
quadratic,100,2,60,0.60,1.30,2.00,0.000256,59,2.77522e-12,"-2.55898e-09;-1.6659e-06"
quadratic,100,2,60,0.60,1.50,1.00,0.000261,60,3.84914e-16,"8.85227e-09;-1.75086e-08"
quadratic,100,2,60,0.60,1.50,1.30,0.000264,60,1.12787e-14,"5.64906e-08;8.99306e-08"
quadratic,100,2,60,0.60,1.50,1.50,0.000444,60,9.47473e-14,"-8.83247e-08;-2.94866e-07"
quadratic,100,2,60,0.60,1.50,1.70,0.002369,60,1.50077e-12,"1.1996e-06;-2.48455e-07"
quadratic,100,2,60,0.60,1.50,2.00,0.002703,58,1.07876e-11,"3.26984e-06;-3.09439e-07"
quadratic,100,2,60,0.60,1.70,1.00,0.000790,58,2.57291e-13,"-1.9041e-07;-4.70144e-07"
quadratic,100,2,60,0.60,1.70,1.30,0.002468,60,3.93323e-13,"4.22158e-08;6.25733e-07"
quadratic,100,2,60,0.60,1.70,1.50,0.000266,60,1.42897e-13,"-1.32566e-07;3.54011e-07"
quadratic,100,2,60,0.60,1.70,1.70,0.000271,56,2.28455e-12,"5.00748e-07;-1.42611e-06"
quadratic,100,2,60,0.60,1.70,2.00,0.000268,55,4.15773e-11,"6.07148e-06;2.17128e-06"
quadratic,100,2,60,0.60,2.00,1.00,0.000282,60,3.16436e-14,"-1.67528e-07;-5.98171e-08"
quadratic,100,2,60,0.60,2.00,1.30,0.000271,56,7.53913e-12,"1.30864e-06;2.41383e-06"
quadratic,100,2,60,0.60,2.00,1.50,0.000270,60,5.5428e-11,"3.96689e-06;6.30014e-06"
quadratic,100,2,60,0.60,2.00,1.70,0.000264,57,1.90669e-11,"-1.05095e-06;4.2382e-06"
quadratic,100,2,60,0.60,2.00,2.00,0.000266,60,4.82238e-09,"-2.48205e-05;-6.48562e-05"
quadratic,100,2,60,0.80,1.00,1.00,0.000260,49,3.29681e-08,"-0.000177046;4.02836e-05"
quadratic,100,2,60,0.80,1.00,1.30,0.000259,59,4.35045e-07,"-0.000476789;-0.000455761"
quadratic,100,2,60,0.80,1.00,1.50,0.000269,52,3.87899e-07,"-0.000250158;0.000570368"
quadratic,100,2,60,0.80,1.00,1.70,0.000258,46,9.11484e-07,"-0.00086353;0.000407185"
quadratic,100,2,60,0.80,1.00,2.00,0.000266,57,8.63235e-07,"0.000769061;0.000521326"
quadratic,100,2,60,0.80,1.30,1.00,0.000261,54,6.99868e-09,"-7.37595e-05;3.94742e-05"
quadratic,100,2,60,0.80,1.30,1.30,0.000650,47,2.66548e-07,"-0.000369226;0.00036086"
quadratic,100,2,60,0.80,1.30,1.50,0.000262,56,5.01783e-07,"-0.000354543;0.000613255"
quadratic,100,2,60,0.80,1.30,1.70,0.000266,51,4.96677e-07,"0.000246631;-0.000660189"
quadratic,100,2,60,0.80,1.30,2.00,0.000257,60,8.14686e-08,"-0.000222502;0.000178777"
quadratic,100,2,60,0.80,1.50,1.00,0.000273,59,2.16666e-07,"-0.000428548;0.000181693"
quadratic,100,2,60,0.80,1.50,1.30,0.000263,53,2.98807e-07,"0.000369547;0.000402792"
quadratic,100,2,60,0.80,1.50,1.50,0.000258,58,1.11355e-08,"-5.88403e-05;8.75973e-05"
quadratic,100,2,60,0.80,1.50,1.70,0.000268,60,3.6294e-06,"-0.000793926;-0.00173179"
quadratic,100,2,60,0.80,1.50,2.00,0.000256,55,1.9915e-07,"-0.000363347;0.000259094"
quadratic,100,2,60,0.80,1.70,1.00,0.000274,59,1.31026e-08,"-0.000111363;-2.64744e-05"
quadratic,100,2,60,0.80,1.70,1.30,0.000263,29,9.60776e-09,"-7.03709e-05;6.82326e-05"
quadratic,100,2,60,0.80,1.70,1.50,0.002446,56,1.00773e-06,"0.000507377;0.0008662"
quadratic,100,2,60,0.80,1.70,1.70,0.002102,52,3.2574e-06,"-0.00177217;0.000341778"
quadratic,100,2,60,0.80,1.70,2.00,0.000303,58,1.17785e-05,"-0.00247877;0.00237364"
quadratic,100,2,60,0.80,2.00,1.00,0.000277,52,1.3071e-06,"0.00106086;-0.000426229"
quadratic,100,2,60,0.80,2.00,1.30,0.000280,57,1.99671e-07,"-0.00016005;0.000417199"
quadratic,100,2,60,0.80,2.00,1.50,0.000264,59,9.28538e-08,"-0.000295888;7.28284e-05"
quadratic,100,2,60,0.80,2.00,1.70,0.000274,53,1.89498e-06,"-0.00116573;0.000732157"
quadratic,100,2,60,0.80,2.00,2.00,0.000268,56,1.22673e-05,"0.000700454;-0.00343171"
quadratic,100,2,60,1.00,1.00,1.00,0.000259,44,0.000333409,"-0.0157366;-0.00926117"
quadratic,100,2,60,1.00,1.00,1.30,0.000281,42,0.00646477,"-0.0398498;0.0698339"
quadratic,100,2,60,1.00,1.00,1.50,0.000266,39,0.000189756,"-0.013515;-0.00266487"
quadratic,100,2,60,1.00,1.00,1.70,0.000278,31,0.000448517,"-0.0106767;-0.01829"
quadratic,100,2,60,1.00,1.00,2.00,0.000264,34,0.00555722,"0.012562;0.0734807"
quadratic,100,2,60,1.00,1.30,1.00,0.000265,54,0.000969993,"0.029595;-0.00970196"
quadratic,100,2,60,1.00,1.30,1.30,0.000267,39,0.00182449,"0.0190882;0.0382117"
quadratic,100,2,60,1.00,1.30,1.50,0.000264,52,0.000731225,"-0.0040317;0.0267389"
quadratic,100,2,60,1.00,1.30,1.70,0.000269,15,0.000419531,"0.00999764;-0.0178767"
quadratic,100,2,60,1.00,1.30,2.00,0.000309,53,0.00351909,"0.010543;-0.0583776"
quadratic,100,2,60,1.00,1.50,1.00,0.000274,5,0.00139447,"-0.032446;-0.0184859"
quadratic,100,2,60,1.00,1.50,1.30,0.000269,16,0.000344654,"-0.00835322;0.0165794"
quadratic,100,2,60,1.00,1.50,1.50,0.000263,28,6.42662e-05,"-0.00210843;0.00773438"
quadratic,100,2,60,1.00,1.50,1.70,0.000267,10,0.00248948,"0.0130174;0.0481667"
quadratic,100,2,60,1.00,1.50,2.00,0.000273,9,0.00112169,"-0.0322509;-0.00903177"
quadratic,100,2,60,1.00,1.70,1.00,0.000274,26,0.00218749,"-0.0109183;0.0454784"
quadratic,100,2,60,1.00,1.70,1.30,0.000284,55,0.00235727,"-0.0374492;-0.0309003"
quadratic,100,2,60,1.00,1.70,1.50,0.000270,6,0.00204054,"0.044507;0.00772464"
quadratic,100,2,60,1.00,1.70,1.70,0.000269,27,0.00236714,"-0.0408592;-0.0264134"
quadratic,100,2,60,1.00,1.70,2.00,0.000269,49,0.00201565,"0.00128303;-0.0448777"
quadratic,100,2,60,1.00,2.00,1.00,0.000265,23,0.00727812,"0.0543728;-0.0657397"
quadratic,100,2,60,1.00,2.00,1.30,0.000272,7,0.00239676,"0.0393285;-0.0291553"
quadratic,100,2,60,1.00,2.00,1.50,0.000277,24,0.000532478,"0.0192227;-0.0127658"
quadratic,100,2,60,1.00,2.00,1.70,0.000277,24,0.00326053,"-0.00494765;-0.0568863"
quadratic,100,2,60,1.00,2.00,2.00,0.000277,27,0.00179685,"-0.00626288;0.0419241"
quadratic,100,2,150,0.40,1.00,1.00,0.000703,150,1.78622e-56,"1.2659e-28;4.28626e-29"
quadratic,100,2,150,0.40,1.00,1.30,0.000707,148,1.72006e-52,"-1.29279e-26;-2.20779e-27"
quadratic,100,2,150,0.40,1.00,1.50,0.001039,150,6.64941e-53,"6.44839e-28;-8.12886e-27"
quadratic,100,2,150,0.40,1.00,1.70,0.001223,150,1.704e-49,"4.10457e-25;4.38844e-26"
quadratic,100,2,150,0.40,1.00,2.00,0.000721,150,3.22448e-46,"-2.84478e-24;1.77301e-23"
quadratic,100,2,150,0.40,1.30,1.00,0.000717,148,1.75435e-55,"-6.08986e-29;4.14399e-28"
quadratic,100,2,150,0.40,1.30,1.30,0.000690,149,3.19881e-51,"-5.04814e-26;-2.55036e-26"
quadratic,100,2,150,0.40,1.30,1.50,0.000698,149,1.57678e-48,"1.24187e-24;-1.8585e-25"
quadratic,100,2,150,0.40,1.30,1.70,0.001031,150,6.3748e-48,"-2.17238e-24;1.28669e-24"
quadratic,100,2,150,0.40,1.30,2.00,0.000714,144,4.30103e-42,"-1.97967e-21;6.18017e-22"
quadratic,100,2,150,0.40,1.50,1.00,0.000706,150,1.39317e-53,"-3.62902e-27;-8.72879e-28"
quadratic,100,2,150,0.40,1.50,1.30,0.000696,150,7.48548e-51,"-8.45067e-26;-1.85496e-26"
quadratic,100,2,150,0.40,1.50,1.50,0.000693,146,2.11131e-47,"3.43251e-24;-3.05466e-24"
quadratic,100,2,150,0.40,1.50,1.70,0.000691,148,5.37151e-46,"-1.22293e-23;1.96874e-23"
quadratic,100,2,150,0.40,1.50,2.00,0.000724,149,5.40682e-41,"5.6806e-21;-4.66894e-21"
quadratic,100,2,150,0.40,1.70,1.00,0.000701,150,9.16172e-52,"-2.46708e-27;-3.01676e-26"
quadratic,100,2,150,0.40,1.70,1.30,0.000742,149,1.28844e-48,"1.11427e-24;-2.16458e-25"
quadratic,100,2,150,0.40,1.70,1.50,0.000681,150,6.75417e-47,"-4.96578e-24;6.54849e-24"
quadratic,100,2,150,0.40,1.70,1.70,0.000698,146,1.87806e-43,"1.83669e-23;-4.32977e-22"
quadratic,100,2,150,0.40,1.70,2.00,0.000688,150,5.2706e-40,"-5.98853e-21;2.2163e-20"
quadratic,100,2,150,0.40,2.00,1.00,0.000696,150,2.7375e-47,"-5.05183e-24;-1.36162e-24"
quadratic,100,2,150,0.40,2.00,1.30,0.000707,150,4.54537e-46,"-2.11186e-23;2.9223e-24"
quadratic,100,2,150,0.40,2.00,1.50,0.002951,150,7.14969e-43,"3.53817e-22;-7.67973e-22"
quadratic,100,2,150,0.40,2.00,1.70,0.000926,149,4.20334e-39,"4.78055e-20;4.37947e-20"
quadratic,100,2,150,0.40,2.00,2.00,0.000666,147,1.37155e-34,"-9.6732e-18;6.60179e-18"
quadratic,100,2,150,0.50,1.00,1.00,0.000683,150,3.95869e-45,"-6.03678e-23;1.77321e-23"
quadratic,100,2,150,0.50,1.00,1.30,0.000674,150,6.24612e-41,"-1.94497e-21;7.66017e-21"
quadratic,100,2,150,0.50,1.00,1.50,0.000678,149,5.15823e-41,"-1.70357e-21;-6.97711e-21"
quadratic,100,2,150,0.50,1.00,1.70,0.000685,150,3.56763e-40,"-1.8769e-20;2.11887e-21"
quadratic,100,2,150,0.50,1.00,2.00,0.000662,145,7.10262e-37,"-2.73265e-19;-7.97238e-19"
quadratic,100,2,150,0.50,1.30,1.00,0.000674,147,7.6505e-43,"8.73607e-22;-4.31216e-23"
quadratic,100,2,150,0.50,1.30,1.30,0.000672,150,1.47981e-39,"1.90215e-20;-3.34365e-20"
quadratic,100,2,150,0.50,1.30,1.50,0.000666,150,1.4573e-38,"6.77391e-20;-9.9922e-20"
quadratic,100,2,150,0.50,1.30,1.70,0.000653,149,1.06238e-36,"-7.14798e-20;-1.02824e-18"
quadratic,100,2,150,0.50,1.30,2.00,0.000664,150,9.81877e-35,"5.82972e-18;-8.01262e-18"
quadratic,100,2,150,0.50,1.50,1.00,0.000671,149,5.81639e-41,"-7.62332e-21;-2.20964e-22"
quadratic,100,2,150,0.50,1.50,1.30,0.000682,148,1.3221e-39,"-3.43169e-20;-1.20184e-20"
quadratic,100,2,150,0.50,1.50,1.50,0.000661,148,5.26506e-36,"-1.58345e-18;1.66064e-18"
quadratic,100,2,150,0.50,1.50,1.70,0.000665,144,5.26333e-36,"-8.09434e-19;2.14666e-18"
quadratic,100,2,150,0.50,1.50,2.00,0.000671,150,4.50101e-34,"2.11708e-17;-1.37822e-18"
quadratic,100,2,150,0.50,1.70,1.00,0.000781,148,3.72046e-40,"7.91743e-21;1.75886e-20"
quadratic,100,2,150,0.50,1.70,1.30,0.000688,149,3.1197e-37,"-3.26485e-19;4.53186e-19"
quadratic,100,2,150,0.50,1.70,1.50,0.000690,150,1.34224e-34,"4.77914e-18;1.05539e-17"
quadratic,100,2,150,0.50,1.70,1.70,0.001135,149,1.54827e-34,"9.38449e-18;-8.17058e-18"
quadratic,100,2,150,0.50,1.70,2.00,0.000678,145,1.80212e-30,"-1.26685e-15;-4.4409e-16"
quadratic,100,2,150,0.50,2.00,1.00,0.000672,149,4.12681e-37,"5.29029e-19;3.6443e-19"
quadratic,100,2,150,0.50,2.00,1.30,0.000645,143,8.04655e-36,"4.95945e-19;-2.79295e-18"
quadratic,100,2,150,0.50,2.00,1.50,0.000664,148,1.29279e-32,"9.00424e-17;-6.94283e-17"
quadratic,100,2,150,0.50,2.00,1.70,0.000646,150,4.37582e-30,"1.14887e-15;1.74812e-15"
quadratic,100,2,150,0.50,2.00,2.00,0.000647,150,3.88422e-29,"4.60277e-15;4.20199e-15"
quadratic,100,2,150,0.60,1.00,1.00,0.000659,150,3.71582e-34,"1.82986e-17;6.06163e-18"
quadratic,100,2,150,0.60,1.00,1.30,0.000657,150,8.15876e-31,"7.94291e-16;-4.30091e-16"
quadratic,100,2,150,0.60,1.00,1.50,0.000640,150,6.23392e-30,"2.49282e-15;-1.40558e-16"
quadratic,100,2,150,0.60,1.00,1.70,0.000639,139,2.04738e-28,"-1.35771e-14;-4.51672e-15"
quadratic,100,2,150,0.60,1.00,2.00,0.000651,149,1.99413e-27,"-4.41263e-14;6.85536e-15"
quadratic,100,2,150,0.60,1.30,1.00,0.000642,150,1.05334e-31,"5.53229e-17;3.19803e-16"
quadratic,100,2,150,0.60,1.30,1.30,0.000665,149,2.61421e-31,"-2.21692e-16;4.60732e-16"
quadratic,100,2,150,0.60,1.30,1.50,0.000698,149,1.95498e-28,"-1.34498e-14;-3.82124e-15"
quadratic,100,2,150,0.60,1.30,1.70,0.000673,150,1.17804e-28,"6.25869e-15;8.86751e-15"
quadratic,100,2,150,0.60,1.30,2.00,0.000643,150,4.23917e-25,"-1.82078e-13;6.25112e-13"
quadratic,100,2,150,0.60,1.50,1.00,0.001030,144,2.17566e-30,"1.28089e-15;-7.31424e-16"
quadratic,100,2,150,0.60,1.50,1.30,0.001561,149,3.99104e-29,"-4.24179e-15;4.68163e-15"
