function,dim,swarmsize,omega,phip,phig,max_iter,best_pos,best_val,total_time
quadratic,2,10,0.4,1.8,1.8,60,[-0.00564795 -0.00059925],3.265063097527625e-08,0.08565592765808105
rastrigin,2,10,0.4,1.8,1.8,60,[4.99748862e-06 4.51767411e-06],9.003880308000589e-09,0.08789563179016113
quadratic,5,10,0.4,1.8,1.8,60,"[ 8.22113469e-08  8.35385377e-09 -3.67604632e+00  1.68298128e+00
 -7.89089161e-01]",6.828492424135259e-15,0.09364652633666992
rastrigin,5,10,0.4,1.8,1.8,60,[ 1.99118944  0.9966322  -0.9978058   1.99359567 -1.98937492],13.93464253179252,0.10738754272460938
quadratic,2,10,0.4,1.8,1.8,250,[-7.06433478e-30 -2.11028920e-30],5.435814641334908e-59,0.23316144943237305
rastrigin,2,10,0.4,1.8,1.8,250,[-7.64706818e-10 -9.94958640e-01],0.9949590570932898,0.24886727333068848
quadratic,5,10,0.4,1.8,1.8,250,"[ 5.36859246e-28  8.26420473e-28  2.52304040e+00 -2.39502814e-01
  7.66149056e-01]",9.71188647892536e-55,0.23017430305480957
rastrigin,5,10,0.4,1.8,1.8,250,"[-9.94958638e-01  6.62839734e-10 -9.94958636e-01  3.67016362e-09
 -3.48700238e-09]",1.9899181141865796,0.2451157569885254
quadratic,2,10,0.4,1.8,1.0,60,[-3.06940546e-12  2.01736986e-10],4.070723293958997e-20,0.045989036560058594
rastrigin,2,10,0.4,1.8,1.0,60,[7.25020889e-09 5.49669010e-09],1.4210854715202004e-14,0.06246066093444824
quadratic,5,10,0.4,1.8,1.0,60,"[-2.49784402e-10  4.57364848e-10  4.15107219e+00  1.87422613e+00
 -3.15473526e+00]",2.7157485168632355e-19,0.0510709285736084
rastrigin,5,10,0.4,1.8,1.0,60,"[-1.99018586e+00  1.99001303e+00 -1.99005031e+00 -9.94813095e-01
 -1.86847190e-04]",12.93448436695499,0.058171749114990234
quadratic,2,10,0.4,1.8,1.0,250,[-2.94372996e-38 -4.74919791e-39],8.891094883317452e-76,0.2003641128540039
